"","train.X.V.","TrainingPredicted"
"142",24.778,24.6988806861766
"143",28.981,29.0518385380601
"144",23.666,23.6735944318593
"145",31.179,31.2423079055109
"146",17.627,17.8904787985792
"147",17.496,17.4747514218647
"148",15.26,15.7270249410692
"149",19.287,19.3958082332512
"150",25.844,25.9757051281738
"151",16.791,16.6967610152192
"152",19.297,19.497276172629
"153",8.2936,9.01648589690758
"154",12.38,12.333149113175
"155",12.256,12.4183513864435
"156",18.188,18.4022962933834
"157",31.505,31.3817981248246
"158",6.3824,7.0658394760367
"159",14.46,14.6708207312252
"160",20.318,20.1435175900785
"161",6.7587,7.92441961604654
"162",17.243,17.1374473555271
"163",18.059,17.9816284218464
"164",8.5887,8.31753764482477
"165",14.046,13.2704550335438
"166",6.1766,5.85335231694704
"167",15.617,15.6440805943746
"168",19.851,19.8413002621086
"169",14.888,14.4969547101052
"170",12.204,12.4832494327442
"171",8.4323,8.53961287275875
"172",10.871,10.967038582997
"173",36.014,36.8844101161838
"174",13.789,14.0499180892614
"175",23.607,23.5700091593095
"176",23.199,23.2165481277801
"177",25.356,25.3979653588495
"178",7.4007,7.24964319085285
"179",28.188,28.0983960094238
"180",31.203,31.262317548519
"181",25.241,24.9445539541518
"182",19.148,19.2030750561661
"183",25.879,26.0662783939084
"184",15.74,15.6122908204787
"185",30.507,30.5545762724379
"186",23.753,23.7721245827486
"187",29.401,29.3250083450703
"188",16.869,16.6390791543308
"189",12.868,12.964602557868
"190",7.2544,6.80773260336645
"191",23.328,23.517500233971
"192",11.881,12.0516033903206
"193",14.086,14.3979695943736
"194",19.214,19.3777251053932
"195",10.903,10.8447554894641
"196",17.666,17.0063701663848
"197",24.29,24.0025221642883
"198",31.399,31.292471218127
"199",17.368,17.7379664291353
"200",19.026,19.148165306029
"201",24.587,24.6793210233751
"202",13.914,13.796255454184
"203",10.19,10.5525398089538
"204",22.869,23.0787039185447
"205",6.628,6.53971700851748
"206",11.679,11.7134385937383
"207",9.6809,9.93576547148762
"208",10.562,10.5776506329873
"209",16.587,16.3397260633812
"210",8.2566,8.41840999775523
"211",31.083,31.2751128984619
"212",7.6317,7.59164529299904
"213",13.3,13.2564587258289
"214",10.345,10.2843631519495
"215",31.827,31.3896864930903
"216",12.782,12.8685737737642
"217",25.184,25.3267969717502
"218",17.414,17.5585375622374
"219",18.553,18.3945284000917
"220",6.7488,4.8506135691867
"221",7.9784,8.13140688406252
"222",14.381,14.2956626705565
"223",23.487,23.1417042294287
"224",9.4344,9.30722853444954
"225",29.199,29.1539381460899
"226",13.835,13.6273429471258
"227",12.469,12.5411753296674
"228",12.119,11.9409958770614
"229",9.0091,9.20101437265045
"230",11,10.9847581734884
"231",9.7399,9.68883159412754
"232",15.444,15.3904898242386
"233",16.066,16.6320220774542
"234",31.192,30.948402217823
"235",12.184,12.7348601125472
"236",12.623,12.6155949759597
"237",13.945,13.6699772301368
"238",14.38,14.1330948042955
"239",12.876,12.8568496744234
"240",19.734,19.5796574537029
"241",22.693,22.6359329853038
"242",21.612,22.055116168855
"243",24.062,24.3138018845272
"244",25.317,25.3650820279719
"245",31.024,30.7080308740081
"246",15.79,15.6985126975239
"247",7.1727,7.26512969681766
"248",19.264,19.2989006163884
"249",11.596,11.6461885300556
"250",12.319,12.4997032123314
"251",17.179,17.3896302238172
"252",29.991,30.1119119514082
"253",10.865,10.6824334132259
"254",29.16,29.1056277606488
"255",10.098,9.95206868892472
"256",19.668,19.512675623298
"257",16.237,16.3900109326596
"258",20.006,19.8637682479104
"259",23.596,23.3013446508562
"260",24.976,25.045963062838
"261",10.403,10.530513185292
"262",10.701,10.5641422492979
"263",31.988,31.8770732675133
"264",14.977,14.9050242746772
"265",18.512,18.6133494699384
"266",7.5032,7.32456798416266
"267",11.683,11.7203301452532
"268",20.085,20.4360136325455
"269",29.834,30.061633593103
"270",8.675,8.73673045377269
"271",13.102,13.4108844431992
"272",13.682,13.7810309652326
"273",18.172,17.842220671079
"274",17.109,17.0248956924164
"275",15.433,15.6958576672224
"276",11.412,11.3907722215536
"277",20.383,20.4064693414458
"278",31.892,31.6586506458839
"279",17.945,17.7711751752831
"280",10.79,10.8270051366596
"281",30.448,30.2889043006753
"282",20.233,19.9004212722507
"283",19.65,19.4860205965489
"284",15.255,15.0357724952674
"285",12.693,12.7275010151633
"286",22.009,22.0186412296351
"287",31.766,31.7873863421387
"288",23.434,23.4483077469898
"289",15.373,15.4371838415728
"290",31.652,31.8823254958188
"291",23.746,23.9805785300014
"292",17.802,17.8885488481013
"293",26.115,25.9462715912363
"294",16.369,16.5409631817668
"295",9.0736,9.44804330648921
"296",10.754,10.7492657272057
"297",9.855,10.3362935792682
"298",16.062,16.397668211502
"299",14.115,13.7304141405101
"300",13.555,13.8592971702949
"301",14.158,14.1972961811745
"302",39.113,35.1372187958851
"303",28.563,28.3781886811739
"304",20.44,21.3589298412667
"305",23.288,23.2453880509157
"306",15.394,15.2548903574947
"307",7.8564,7.6402529587195
"308",6.5431,6.45820658988946
"309",31.226,31.2873645671082
"310",30.988,30.933273181877
"311",17.084,17.0839781098276
"312",9.1867,9.07213274433238
"313",23.913,23.6636058459654
"314",6.3142,6.03392609644033
"315",23.787,23.7541599255529
"316",15.7,15.7437246496984
"317",31.706,31.8116192162161
"318",27.629,27.7379851472368
"319",27.66,27.8068220987377
"320",10.844,10.947542637186
"321",26.233,26.2084311796148
"322",29.781,30.0058822091127
"323",36.913,36.7106655565276
"324",21.399,21.5131032079653
"325",25.674,25.0214377215033
"326",18.899,18.8131901618612
"327",14.54,14.3729021742302
"328",17.457,17.6733631066845
"329",33.99,34.0767413928467
"330",32.942,32.8502373608327
"331",8.2221,8.2634442999333
"332",31.14,31.222426880534
"333",16.534,16.4301723487448
"334",25.07,25.2230742504425
"335",28.291,28.5479799697302
"336",12.617,12.7099977215135
"337",14.999,15.0215668616051
"338",24.642,24.3182412971992
"339",16.058,15.7384471155593
"340",20.348,20.5956339299824
"341",16.119,15.8890093901545
"342",17.765,17.6321073555228
