"","trainset.X.V","TrainingPredicted"
"199",19.148,19.1968238235497
"101",25.879,25.8796775640015
"3",15.74,15.8232794776333
"285",30.507,30.4359219647031
"442",23.753,23.4880407006252
"94",29.401,29.0629095924906
"206",16.869,17.0051636501676
"326",12.868,12.9913223918437
"348",7.2544,7.55326545194407
"440",23.328,23.3276479492171
"330",11.881,12.3247608002464
"212",14.086,14.459606284735
"243",19.214,19.4553199849232
"22",10.903,11.2511866374581
"466",17.666,18.328991252439
"149",24.29,24.4999829037184
"124",31.399,31.2902559103499
"253",17.368,18.0576398250352
"244",19.026,19.3176642574183
"305",24.587,25.4481673899397
"57",13.914,13.7823964966934
"384",10.19,10.6112107501681
"152",22.869,24.0541727264215
"346",6.628,7.17695079567838
"331",11.679,12.1209509462337
"222",9.6809,9.70451817293467
"381",10.562,10.8734465864349
"256",16.587,17.4543532057189
"341",8.2566,8.4845966860975
"83",31.083,30.7330371563834
"30",7.6317,7.91118740596905
"176",13.3,13.0277146149223
"336",10.345,10.8150183845854
"89",31.827,30.7927816207322
"17",12.782,13.231589150758
"399",25.184,24.7934739427433
"458",17.414,17.8164835251975
"360",18.553,18.0923018923326
"37",6.7488,6.95643147369707
"187",7.9784,7.94936766079407
"56",14.381,14.5044615958683
"434",23.487,23.3983686552243
"223",9.4344,9.17549850455627
"292",29.199,29.1356247661627
"324",13.835,13.9694937076728
"18",12.469,12.8551812904287
"180",12.119,11.7112721176397
"185",9.0091,8.65033924988867
"382",11,10.9325502624004
"338",9.7399,9.82774935337747
"4",15.444,15.6997471978595
"272",16.066,15.9001071801377
"126",31.192,31.256864335557
"267",12.184,13.4983845471885
"372",12.623,12.4079557249308
"370",13.945,13.5002678101641
"173",14.38,13.9352404447767
"266",12.876,13.5938021313697
"242",19.734,19.6102351072998
"448",22.693,22.7747371306298
"450",21.612,21.934332371544
"104",24.062,24.1285316910724
"147",25.317,25.0486682787183
"81",31.024,30.7855063909742
"259",15.79,16.9729471064768
"231",7.1727,7.63710088724003
"44",19.264,19.2183708974692
"217",11.596,11.7678421891982
"60",12.319,12.1562262370016
"49",17.179,17.2546775066664
"93",29.991,29.5780342597217
"377",10.865,10.9399210824572
"138",29.16,29.0238249736742
"65",10.098,10.085286427043
"197",19.668,19.5307627349254
"460",16.237,17.1580892335717
"238",20.006,20.0525616424211
"437",23.596,23.3788692290235
"401",24.976,24.6802337960103
"183",10.403,9.72478013872099
"335",10.701,10.9816738262308
"86",31.988,30.9253330963593
"314",14.977,15.0064181684368
"246",18.512,19.1048665670823
"188",7.5032,7.36420241887605
"374",11.683,11.6377208738985
"416",20.085,20.1925669699549
"289",29.834,29.7161087466491
"340",8.675,8.60486112418215
"16",13.102,13.3782049601327
"14",13.682,13.6034952750865
"250",18.172,18.3938388113744
"205",17.109,17.1782521203677
"313",15.433,15.1967759276961
"375",11.412,11.4204140369837
"111",20.383,20.3969932777355
"87",31.892,30.8886469774412
"457",17.945,18.1236655862921
"378",10.79,10.8616485912338
"286",30.448,30.4397303598649
"41",20.233,19.6790170928395
"43",19.65,19.3705088120195
"54",15.255,15.2426702817617
"328",12.693,12.8675278606275
"107",22.009,21.7987148817959
"79",31.766,31.6964420779026
"431",23.434,24.1578749847498
"168",15.373,15.1894085826008
"122",31.652,31.5142227976349
"441",23.746,23.4489222440535
"420",17.802,17.3701879159532
"301",26.115,26.0513333261982
"207",16.369,16.496212506793
"67",9.0736,9.21961078510223
"23",10.754,11.0266651289649
"385",9.855,10.4726887993539
"1",16.062,16.1677031547858
"13",14.115,14.2612985470542
"213",13.555,13.7574234499946
"321",14.158,14.2782570961305
"311",39.113,31.9307838115558
"140",28.563,28.0420952817259
"236",20.44,21.0057958075407
"436",23.288,23.3708539143856
"8",15.394,15.4321294408368
"228",7.8564,8.11220083992605
"35",6.5431,6.68459303354599
"125",31.226,31.2799764675555
"282",30.988,30.71395728578
"364",17.084,16.9136418153344
"339",9.1867,9.40334899702356
"444",23.913,23.4513896957237
"189",6.3142,6.91153591320151
"445",23.787,23.3639022355536
"167",15.7,15.7197259885914
"130",31.706,31.2169874661664
"298",27.629,27.3751340045267
"297",27.66,27.803475907202
"383",10.844,10.8647643031491
"145",26.233,25.5822255037447
"288",29.781,29.9079923445508
"118",36.913,34.9610976988234
"413",21.399,21.322421549523
"392",25.674,24.8864297638301
"113",18.899,19.8684771169082
"172",14.54,14.0104326619605
"363",17.457,17.1925577622913
"276",33.99,33.2449371632932
"277",32.942,32.1954680414021
"227",8.2221,8.55424153300624
"281",31.14,30.7996962206682
"165",16.534,16.1825086242096
"395",25.07,24.8631136774545
"295",28.291,28.2341855440177
"327",12.617,12.8921790327479
"368",14.999,14.9272439572852
"148",24.642,24.788007224512
"366",16.058,15.6943880730126
"237",20.348,20.5031580311923
"464",16.119,16.9072428208093
"362",17.765,17.6300978027786
